,0
0,3
1,7
2,11
3,17
4,26
5,28
6,34
7,36
8,38
9,39
10,41
11,45
12,47
13,49
14,51
15,55
16,59
17,63
18,67
19,70
20,74
21,80
22,89
23,93
24,97
25,103
26,105
27,111
28,115
29,129
30,137
31,143
32,149
33,152
34,156
35,158
36,160
37,166
38,172
39,184
40,193
41,197
42,203
43,205
44,208
45,214
46,216
47,224
48,226
49,232
50,235
51,241
52,243
53,245
54,249
55,251
56,254
57,260
58,264
59,266
60,268
61,270
62,272
63,288
64,291
65,297
66,306
67,308
68,309
69,315
70,318
71,321
72,325
73,331
74,337
75,341
76,343
77,344
78,350
79,358
80,361
81,367
82,368
83,371
84,377
85,385
86,388
87,396
88,398
89,404
90,410
91,414
92,423
93,427
94,428
95,434
96,436
97,442
98,445
99,453
100,457
101,461
102,464
103,468
104,470
105,476
106,482
107,488
108,490
109,496
110,502
111,506
112,508
113,512
114,518
115,532
116,538
117,541
118,550
119,556
120,558
121,564
122,567
123,573
124,576
125,578
126,582
127,585
128,591
129,603
130,607
131,611
132,613
133,619
134,623
135,627
136,633
137,637
138,641
139,644
140,650
141,656
142,660
143,663
144,672
145,678
146,682
147,683
148,689
149,691
150,694
151,697
152,701
153,705
154,708
155,710
156,713
157,717
158,725
159,729
160,731
161,735
162,737
163,751
164,757
165,759
166,763
167,769
168,770
169,776
170,779
171,785
172,791
173,793
174,797
175,799
176,803
177,810
178,811
179,813
180,815
181,818
182,830
183,839
184,845
185,849
186,858
187,864
188,868
189,872
190,875
191,881
192,885
193,897
194,899
195,903
196,907
197,910
198,911
199,925
200,929
201,935
202,938
203,941
204,953
205,957
206,963
207,965
208,967
209,973
210,975
211,977
212,986
213,992
214,1000
215,1003
216,1015
217,1019
218,1023
219,1027
220,1029
221,1030
222,1037
223,1040
224,1042
225,1044
226,1046
227,1049
228,1053
229,1057
230,1061
231,1070
232,1073
233,1080
234,1081
235,1093
236,1099
237,1107
238,1111
239,1113
240,1117
241,1119
242,1123
243,1129
244,1138
245,1140
246,1142
247,1146
248,1150
249,1156
250,1162
251,1169
252,1171
253,1175
254,1181
255,1190
256,1196
257,1198
258,1202
259,1204
260,1210
261,1214
262,1220
263,1223
264,1226
265,1232
266,1234
267,1236
268,1240
269,1242
270,1246
271,1262
272,1268
273,1274
274,1280
275,1284
276,1288
277,1290
278,1296
279,1298
280,1304
281,1310
282,1312
283,1314
284,1316
285,1320
286,1324
287,1330
288,1342
289,1346
290,1349
291,1355
292,1357
293,1359
294,1363
295,1369
296,1371
297,1377
298,1380
299,1383
300,1387
301,1393
302,1399
303,1401
304,1407
305,1417
306,1426
307,1430
308,1439
309,1448
310,1449
311,1451
312,1461
313,1463
314,1466
315,1468
316,1469
317,1473
318,1475
319,1476
320,1509
321,1513
322,1515
323,1518
324,1521
325,1525
326,1532
327,1536
328,1538
329,1541
330,1547
331,1553
332,1555
333,1556
334,1562
335,1568
336,1574
337,1578
338,1582
339,1585
340,1586
341,1590
342,1593
343,1601
344,1605
345,1611
346,1613
347,1622
348,1625
349,1631
350,1633
351,1636
352,1643
353,1649
354,1655
355,1661
356,1667
357,1670
358,1674
359,1680
360,1683
361,1689
362,1695
363,1701
364,1705
365,1708
366,1712
367,1714
368,1715
369,1721
370,1723
371,1727
372,1730
373,1736
374,1742
375,1746
376,1750
377,1752
378,1760
379,1762
380,1764
381,1768
382,1770
383,1774
384,1778
385,1780
386,1782
387,1787
388,1794
389,1804
390,1810
391,1811
392,1812
393,1818
394,1826
395,1828
396,1834
397,1840
398,1842
399,1846
400,1848
401,1852
402,1856
403,1860
404,1861
405,1865
406,1869
407,1871
408,1872
409,1878
410,1880
411,1883
412,1888
413,1890
414,1892
415,1894
416,1896
417,1908
418,1912
419,1921
420,1925
421,1928
422,1930
423,1933
424,1937
425,1938
426,1940
427,1943
428,1947
429,1953
430,1955
431,1957
432,1965
433,1967
434,1970
435,1973
436,1976
437,1979
438,1981
439,1988
440,1990
441,1992
442,1995
443,1998
444,2001
445,2007
446,2009
447,2013
448,2016
449,2018
450,2024
451,2028
452,2030
453,2033
454,2036
455,2040
456,2043
457,2044
458,2046
459,2052
460,2058
461,2064
462,2076
463,2080
464,2089
465,2095
466,2099
467,2102
468,2104
469,2108
470,2109
471,2113
472,2115
473,2121
474,2125
475,2137
476,2141
477,2143
478,2146
479,2152
480,2155
481,2157
482,2163
483,2172
484,2174
485,2180
486,2182
487,2188
488,2192
489,2201
490,2204
491,2206
492,2208
493,2212
494,2214
495,2218
496,2222
497,2224
498,2228
499,2231
500,2232
501,2238
502,2240
503,2244
504,2248
505,2252
506,2258
507,2260
508,2262
509,2266
510,2268
511,2274
512,2280
513,2282
514,2288
515,2294
516,2298
517,2304
518,2310
519,2312
520,2314
521,2316
522,2320
523,2324
524,2328
525,2334
526,2338
527,2341
528,2350
529,2354
530,2362
531,2366
532,2368
533,2372
534,2375
535,2377
536,2379
537,2381
538,2384
539,2390
540,2394
