,0
0,8657
1,7256
2,73
3,5954
4,4090
5,3646
6,1493
7,8546
8,3873
9,7674
10,3388
11,7780
12,7165
13,1940
14,7592
15,3372
16,6624
17,4596
18,1888
19,5535
20,7746
21,8890
22,5907
23,1192
24,1224
25,7342
26,4876
27,5694
28,2167
29,3952
30,901
31,587
32,1435
33,8337
34,6910
35,7413
36,9207
37,802
38,8407
39,8457
40,2230
41,9242
42,1467
43,7236
44,923
45,8515
46,1972
47,6772
48,5806
49,6224
50,9770
51,2113
52,159
53,5944
54,3149
55,2105
56,5084
57,5946
58,4588
59,3196
60,1455
61,8392
62,289
63,8028
64,6862
65,7492
66,4328
67,1516
68,3431
69,4724
70,7969
71,6981
72,1655
73,2533
74,5986
75,1252
76,109
77,7637
78,6483
79,9278
80,1624
81,6347
82,3842
83,9930
84,3345
85,5830
86,9103
87,3759
88,1656
89,5769
90,4237
91,7883
92,8051
93,5348
94,7344
95,1653
96,4737
97,341
98,4080
99,7170
100,9212
101,3239
102,4406
103,9765
104,6913
105,6328
106,4555
107,8364
108,9800
109,6846
110,7802
111,5177
112,8166
113,421
114,5856
115,4951
116,820
117,9173
118,5539
119,6969
120,957
121,943
122,8700
123,1913
124,4228
125,8776
126,1926
127,90
128,3485
129,3530
130,7431
131,3658
132,3188
133,5791
134,5913
135,2598
136,9120
137,2419
138,2462
139,9284
140,1248
141,7536
142,8397
143,7550
144,8547
145,5199
146,6008
147,3780
148,9726
149,2096
150,2268
151,8237
152,4495
153,817
154,7784
155,533
156,8910
157,7406
158,6491
159,7563
160,1326
161,9020
162,9240
163,4432
164,3468
165,3074
166,154
167,2398
168,2515
169,1907
170,6296
171,4036
172,4921
173,2775
174,8985
175,6303
176,3418
177,5793
178,4980
179,7852
180,1934
181,2483
182,1746
183,7987
184,5310
185,413
186,3177
187,1313
188,6608
189,2804
190,9872
191,658
192,9475
193,5429
194,2472
195,2162
196,9169
197,6567
198,9531
199,9400
200,1172
201,4622
202,3495
203,5661
204,6431
205,5056
206,7990
207,1392
208,4691
209,354
210,3092
211,5235
212,8692
