,0
0,34
1,238
2,272
3,273
4,287
5,293
6,297
7,299
8,325
9,430
10,652
11,674
12,676
13,690
14,752
15,753
16,763
17,764
18,774
19,778
20,779
21,783
22,784
23,798
24,900
25,904
26,905
27,909
28,990
29,996
30,1358
31,1362
32,1366
33,1370
34,1371
35,1405
36,1499
37,1500
38,1501
39,1502
40,1736
41,2393
42,2397
43,2431
44,2574
45,2575
46,2576
47,2678
48,2712
49,2722
50,2845
51,2846
52,2850
53,3354
54,3358
55,3468
56,3472
57,3478
58,3480
59,3481
60,3482
61,3483
62,3517
63,3531
64,3557
65,3563
66,3638
67,3652
68,3746
69,3756
70,3927
71,3945
72,3949
73,3953
74,4076
75,4108
76,4112
77,4126
78,4130
79,4134
80,4237
81,4243
82,4247
83,4248
84,4249
85,4253
86,4427
87,4535
88,4537
89,4538
90,4619
91,4725
92,4759
93,4930
94,4931
95,5037
96,5041
97,5045
98,5079
99,5083
100,5084
101,5118
102,5119
103,5153
104,5157
105,5167
106,5201
107,5322
108,5775
109,5786
110,5787
111,5958
112,6030
113,6064
114,6068
115,6072
116,6078
117,6312
118,6313
119,6327
120,6328
121,6332
122,6336
123,6344
124,6354
125,6358
126,6388
127,6422
128,6423
129,6427
130,6649
131,6653
132,6737
133,6842
134,7052
135,7060
136,7162
137,7194
138,7228
139,7232
140,7236
141,7240
142,7244
143,7254
144,7364
145,7365
146,7366
147,7372
148,7376
149,7469
150,7898
151,7902
152,8082
153,8316
154,8322
155,8323
156,8446
157,8460
158,8462
159,8496
160,8502
161,8558
162,8564
163,8596
164,8600
165,8774
166,8784
167,8802
168,8803
169,8807
170,8821
171,9043
172,9069
173,9103
174,9137
175,9151
176,9224
177,9228
178,9232
179,9353
180,9357
181,9358
182,9390
183,9396
184,9716
185,9726
186,9736
187,9740
188,9754
189,9976
190,9982
191,10301
192,10335
193,10339
194,10343
195,10377
196,10391
197,10395
198,10417
199,10869
200,10873
201,10954
202,10964
203,10968
204,11078
205,11079
206,11111
207,11112
208,11116
209,11122
210,11332
211,11536
212,11540
213,11574
214,12026
215,12030
216,12062
217,12063
218,12069
219,12070
220,12202
221,12436
222,12444
223,12454
224,12538
225,12709
226,12713
227,12714
228,12716
229,12720
230,12882
231,12883
232,12884
233,12888
234,13253
235,13287
236,13564
237,13596
238,13701
239,13705
240,13735
241,14826
242,14827
243,14831
244,14835
245,14839
246,15019
247,15029
248,15063
249,15067
250,15068
251,15076
252,15080
253,15082
254,15090
255,15124
256,15135
257,15145
258,15207
259,15211
260,15310
261,15311
262,15315
263,15321
264,15405
265,15499
266,15519
267,15525
268,15526
269,15527
270,15690
271,15710
272,15744
273,15748
274,15752
275,15756
276,15760
277,15812
278,15816
279,15822
280,15826
281,15827
282,15831
283,15845
284,15877
285,15891
286,15925
287,15929
288,15933
289,15937
290,15947
291,15951
292,15965
293,16199
294,16400
295,16404
296,16418
297,16422
298,16432
299,16449
300,16569
301,16583
302,16587
303,16588
304,16622
305,16654
306,16655
307,16663
308,16677
309,16679
310,16681
311,16687
312,16711
313,16717
314,16719
315,16730
316,16811
317,16812
318,16818
319,16824
320,16835
321,16839
322,16845
323,16849
324,16855
325,16859
326,16863
327,16869
328,16875
329,17085
330,17195
331,17209
332,17443
333,17453
334,17547
335,17718
336,17722
337,17723
338,17755
339,17759
340,17775
341,18754
342,18755
343,18789
344,18795
345,18799
346,18803
347,18809
348,18843
349,18844
350,19048
351,19052
352,19086
353,19090
354,19132
355,19133
356,19147
357,19149
358,19257
359,19274
360,19691
361,19785
362,19791
363,19929
364,19931
365,19953
366,19954
367,19968
368,20000
369,20034
370,20035
371,20039
372,20043
373,20060
374,20255
375,20273
376,20307
377,20339
378,20340
379,20344
380,20352
381,20353
382,20355
383,20553
384,20724
385,20887
386,20891
387,20905
388,20915
389,20916
390,20924
391,20928
392,20942
393,21048
394,21066
395,21107
396,21121
397,21209
398,21241
399,21347
400,21365
401,21366
402,21367
403,21765
404,21775
405,21809
406,21843
407,21924
408,21925
409,21935
410,21952
411,22156
412,22190
413,22191
414,22195
415,22199
416,22409
417,22413
418,22417
419,22627
420,22631
421,22633
422,22641
423,22764
424,22780
425,22784
426,22790
427,22860
428,22861
429,23314
430,23318
431,23319
432,23323
433,23324
434,23328
435,23329
436,23333
437,23335
438,23369
439,23370
440,23382
441,23386
442,23398
443,23402
444,23412
445,23413
446,23423
447,23927
448,24137
449,24151
450,24152
451,24166
452,24260
453,24266
454,24300
455,24314
456,24318
457,24390
458,24391
459,24393
460,24487
461,24488
462,24659
463,24693
464,24697
465,24731
466,24739
467,24771
468,24775
469,24779
470,24785
471,24819
472,24835
473,24845
474,24849
475,25353
476,25357
477,25413
478,25423
479,25427
480,25435
481,25437
482,25471
483,25485
484,25560
485,25566
486,25660
487,25664
488,25678
489,25832
490,25833
491,25837
492,25841
493,25847
494,25848
495,25849
496,25855
497,26020
498,26030
499,26031
500,26035
501,26036
502,26050
503,26051
504,26053
505,26076
506,26077
507,26240
508,26241
509,26340
510,26346
511,26356
512,26390
513,26561
514,26577
515,26581
516,26582
517,26586
518,26618
519,26620
520,26622
521,26632
522,26633
523,26647
524,26746
525,26780
526,26784
527,26816
528,26820
529,26834
530,26868
531,27012
532,27022
533,27026
534,27040
535,27044
536,27054
537,27086
538,27088
539,27158
540,27662
541,27663
542,27665
543,27667
544,27673
545,27674
546,27764
547,27766
548,27780
549,27782
550,27796
551,27800
552,27804
553,27821
554,27827
555,27831
556,27896
557,27897
558,27903
559,27904
560,27938
561,27948
562,28182
563,28190
564,28224
565,28238
566,28244
567,28246
568,28646
569,28648
570,28732
571,28766
572,28767
573,28773
574,28777
575,28948
576,28952
577,28954
578,29077
579,29078
580,29079
581,29093
582,29095
583,29148
584,29154
585,29158
586,29166
587,29200
588,29204
589,29205
590,29206
591,29212
592,29723
593,29792
594,29902
595,29906
596,29910
597,29914
598,29915
599,29921
600,29925
601,30046
602,30050
603,30054
604,30070
605,30078
606,30201
607,30205
608,30206
609,30210
610,30214
611,30228
612,30229
613,30233
614,30339
615,30561
616,30595
617,30601
618,30602
619,30636
620,30637
621,30647
622,30651
623,30661
624,30665
625,30671
626,30693
627,30695
628,30857
629,30858
630,30876
631,30890
632,30891
633,30905
634,30907
635,30911
636,30913
637,30914
638,30916
639,30917
640,30921
641,31026
642,31479
643,31483
644,31485
645,31493
646,31494
647,31500
648,31501
649,31511
650,31521
651,31535
652,31549
653,31551
654,31565
655,31569
656,31603
657,31604
658,31966
659,32188
660,32189
661,32312
662,32316
663,32322
664,32330
665,32340
666,32341
667,32345
668,32379
669,32380
670,32381
671,32395
672,32401
673,32572
674,32586
675,32709
