,0
0,6
1,10
2,14
3,16
4,20
5,24
6,27
7,33
8,35
9,37
10,46
11,47
12,48
13,54
14,56
15,58
16,60
17,63
18,65
19,68
20,77
21,83
22,89
23,91
24,95
25,99
26,101
27,104
28,105
29,111
30,112
31,118
32,121
33,124
34,127
35,129
36,131
37,133
38,135
39,137
40,139
41,142
42,144
43,162
44,164
45,167
46,169
47,173
48,176
49,177
50,179
51,181
52,183
53,189
54,193
55,197
56,201
57,205
58,211
59,212
60,218
61,219
62,225
63,231
64,235
65,237
66,238
67,242
68,244
69,248
70,250
71,252
72,256
73,262
74,266
75,268
76,272
77,275
78,278
79,282
80,286
81,292
82,293
83,295
84,299
85,300
86,303
87,305
88,307
89,309
90,312
91,320
92,322
93,325
94,329
95,337
96,341
97,347
98,351
99,354
100,357
101,359
102,365
103,367
104,369
105,375
106,379
107,385
108,394
109,396
110,400
111,404
112,412
113,414
114,420
115,423
116,425
117,431
118,434
119,438
120,442
121,448
122,450
123,452
124,455
125,458
126,460
127,464
128,468
129,471
130,472
131,476
132,480
133,482
134,484
135,486
136,488
137,492
138,494
139,496
140,497
141,501
142,505
143,507
144,510
145,518
146,524
147,527
148,533
149,535
150,541
151,545
152,547
153,557
154,558
155,560
156,562
157,566
158,572
159,578
160,580
161,582
162,588
163,594
164,597
165,601
166,605
167,607
168,609
169,623
170,626
171,629
172,633
173,636
174,642
175,651
176,655
177,659
178,660
179,664
180,670
181,672
182,678
183,680
184,682
185,686
186,688
187,692
188,695
189,697
190,701
191,702
192,706
193,709
194,712
195,718
196,724
197,725
198,729
199,735
200,736
201,738
202,744
203,758
204,762
205,768
206,772
207,774
208,778
209,784
210,787
211,789
212,791
213,793
214,801
215,802
216,804
217,807
218,810
219,813
220,816
221,819
222,821
223,823
224,825
225,827
226,830
227,834
228,835
229,838
230,839
231,843
232,846
233,850
234,853
235,856
236,858
237,860
238,863
239,864
240,870
241,876
242,880
243,886
244,890
245,892
246,898
247,899
248,901
249,902
250,904
251,906
252,910
253,912
254,914
255,916
256,922
257,926
258,927
259,930
260,933
261,939
262,942
263,948
264,951
265,954
266,960
267,962
268,964
269,965
270,968
271,970
272,973
273,975
274,979
275,982
276,984
277,998
278,1000
279,1002
280,1004
281,1006
282,1008
283,1009
284,1017
285,1020
286,1027
287,1031
288,1037
289,1046
290,1050
291,1052
292,1054
293,1056
294,1060
295,1064
296,1068
297,1076
298,1079
299,1082
300,1084
301,1085
302,1087
303,1089
304,1091
305,1097
306,1099
307,1103
308,1107
309,1108
310,1110
311,1112
312,1116
313,1120
314,1122
315,1124
316,1130
317,1136
318,1138
319,1142
320,1145
321,1148
322,1151
323,1157
324,1159
325,1161
326,1163
327,1165
328,1169
329,1173
330,1175
331,1179
332,1181
333,1197
334,1199
335,1202
336,1206
337,1208
338,1211
339,1217
340,1223
341,1227
342,1229
343,1237
344,1246
345,1247
346,1249
347,1263
348,1266
349,1268
350,1271
351,1272
352,1276
353,1278
354,1281
355,1284
356,1286
357,1290
358,1296
359,1299
360,1305
361,1306
362,1314
363,1317
364,1323
365,1327
366,1335
367,1337
368,1338
369,1342
370,1346
371,1349
372,1353
373,1357
374,1359
375,1361
376,1365
377,1366
378,1378
379,1379
380,1381
381,1383
382,1385
383,1389
384,1395
385,1399
386,1403
387,1407
388,1409
389,1415
390,1419
391,1421
392,1427
393,1433
394,1439
395,1441
396,1444
397,1448
398,1454
399,1460
400,1462
401,1466
402,1470
403,1476
404,1480
405,1486
406,1488
407,1494
408,1498
409,1500
410,1506
411,1508
412,1509
413,1515
414,1517
415,1524
416,1528
417,1530
418,1532
419,1538
420,1544
421,1547
422,1553
423,1557
424,1561
425,1567
426,1571
427,1574
428,1581
429,1584
430,1588
431,1590
432,1592
433,1595
434,1598
435,1609
436,1613
437,1615
438,1618
439,1624
440,1630
441,1638
442,1641
443,1647
444,1649
445,1650
446,1651
447,1657
448,1663
449,1665
450,1667
451,1669
452,1673
453,1677
454,1679
455,1683
456,1686
457,1692
458,1700
459,1702
460,1704
461,1706
462,1710
463,1711
464,1713
465,1715
466,1729
467,1732
468,1734
469,1740
470,1744
471,1746
472,1750
473,1754
474,1756
475,1766
476,1768
477,1774
478,1776
479,1780
480,1786
481,1789
482,1791
483,1795
484,1797
485,1803
486,1809
487,1816
488,1828
489,1831
490,1833
491,1837
492,1841
493,1847
494,1851
495,1853
496,1859
497,1861
498,1870
499,1872
500,1874
501,1878
502,1880
503,1883
504,1887
505,1889
506,1891
507,1895
508,1898
509,1901
510,1910
511,1912
512,1916
513,1919
514,1921
515,1927
516,1933
517,1935
518,1938
519,1940
520,1943
521,1945
522,1946
523,1950
524,1954
525,1957
526,1958
527,1960
528,1962
529,1970
530,1974
531,1976
532,1978
533,1979
534,1983
535,1984
536,1987
537,1988
538,1990
539,1993
540,1995
541,1997
542,2000
543,2006
544,2007
545,2008
546,2010
547,2018
548,2020
549,2022
550,2026
551,2029
552,2031
553,2033
554,2037
555,2039
556,2040
557,2044
558,2050
559,2052
560,2054
561,2060
562,2064
563,2078
564,2084
565,2090
566,2094
567,2096
568,2099
569,2100
570,2103
571,2109
572,2113
573,2117
574,2121
575,2127
576,2130
577,2131
578,2137
579,2138
580,2141
581,2145
582,2151
583,2154
584,2156
585,2158
586,2162
587,2164
588,2166
589,2167
590,2173
591,2176
592,2182
593,2184
594,2186
595,2189
596,2195
597,2199
598,2202
599,2206
600,2210
601,2216
602,2218
603,2224
604,2227
605,2233
606,2239
607,2245
608,2249
609,2251
610,2253
611,2257
612,2261
613,2262
614,2271
615,2275
616,2279
617,2283
618,2289
619,2293
620,2295
621,2301
622,2305
623,2311
624,2315
625,2321
626,2325
627,2329
628,2331
629,2339
630,2341
631,2348
632,2354
633,2356
634,2360
635,2361
636,2364
637,2365
638,2367
639,2369
640,2371
641,2373
642,2375
643,2377
644,2378
645,2380
646,2382
647,2385
648,2389
649,2391
650,2393
651,2397
652,2399
653,2403
654,2406
655,2410
656,2416
657,2417
658,2420
659,2423
660,2425
661,2427
662,2431
663,2443
664,2444
665,2448
666,2451
667,2453
668,2454
669,2460
670,2463
671,2469
672,2471
673,2475
674,2477
675,2479
676,2481
677,2487
678,2490
679,2492
680,2502
681,2504
682,2507
683,2508
684,2509
685,2511
686,2514
687,2515
688,2521
689,2525
690,2526
691,2529
692,2531
693,2532
694,2535
695,2537
696,2540
697,2542
698,2548
699,2552
700,2554
701,2558
702,2564
703,2566
704,2569
705,2573
706,2575
707,2578
708,2581
709,2585
710,2586
711,2592
712,2593
713,2596
714,2602
715,2604
716,2605
717,2607
718,2611
719,2613
720,2615
721,2619
722,2625
723,2633
724,2636
725,2638
726,2640
727,2644
728,2646
729,2650
730,2654
731,2658
732,2662
733,2664
734,2666
735,2670
736,2672
737,2678
738,2679
739,2683
740,2685
741,2687
742,2689
743,2693
744,2699
745,2708
746,2712
747,2714
748,2717
749,2723
750,2724
751,2726
752,2729
753,2733
754,2739
755,2741
756,2743
757,2751
758,2757
759,2759
760,2761
761,2765
762,2767
763,2769
764,2772
765,2776
766,2780
767,2783
768,2787
769,2793
770,2799
771,2803
772,2805
773,2811
774,2813
775,2816
776,2817
777,2821
778,2823
779,2825
780,2828
781,2834
782,2835
783,2841
784,2845
785,2857
786,2863
787,2865
788,2869
789,2871
790,2877
791,2879
792,2895
793,2899
794,2905
795,2911
796,2915
797,2917
798,2921
799,2923
800,2927
801,2929
802,2931
803,2933
804,2936
805,2942
806,2944
807,2948
808,2954
809,2956
810,2958
811,2960
812,2964
813,2965
814,2967
815,2971
816,2975
817,2977
818,2981
819,2983
820,2986
821,2990
822,2992
823,2998
824,3001
825,3004
826,3010
827,3012
828,3018
829,3022
830,3024
831,3026
832,3034
833,3056
834,3058
835,3060
836,3068
837,3072
838,3074
839,3077
840,3083
841,3085
842,3086
843,3088
844,3092
845,3094
846,3100
847,3103
848,3109
849,3115
850,3117
851,3120
852,3127
853,3129
854,3131
855,3135
856,3137
857,3139
858,3145
859,3148
860,3151
861,3155
862,3163
863,3166
864,3169
865,3173
866,3175
867,3177
868,3178
869,3187
870,3190
871,3192
872,3198
873,3202
874,3203
875,3207
876,3209
877,3211
878,3214
879,3220
880,3222
881,3225
882,3227
883,3230
884,3232
885,3240
886,3241
887,3244
888,3247
889,3249
890,3252
891,3253
892,3257
893,3261
894,3265
895,3267
896,3269
897,3270
898,3273
899,3277
900,3280
901,3281
902,3287
903,3291
904,3297
905,3299
906,3305
907,3309
908,3311
909,3317
910,3320
911,3323
