,0
0,1
1,37
2,37
3,46
4,58
5,70
6,78
7,79
8,115
9,125
10,137
11,155
12,156
13,166
14,174
15,175
16,176
17,188
18,189
19,190
20,202
21,208
22,216
23,234
24,244
25,244
26,250
27,262
28,270
29,278
30,286
31,298
32,299
33,308
34,308
35,326
36,327
37,328
38,338
39,339
40,351
41,360
42,361
43,377
44,385
45,391
46,407
47,408
48,420
49,426
50,427
51,436
52,436
53,444
54,459
55,468
56,524
57,536
58,544
59,552
60,564
61,579
62,580
63,586
64,594
65,630
66,639
67,648
68,663
69,677
70,687
71,702
72,716
73,725
74,739
75,751
76,759
77,767
78,768
79,777
80,779
81,785
82,797
83,839
84,857
85,866
86,878
87,886
88,894
89,895
90,919
91,937
92,946
93,958
94,973
95,985
96,986
97,1000
98,1010
99,1010
100,1011
101,1029
102,1037
103,1037
104,1047
105,1068
106,1080
107,1086
108,1092
109,1104
110,1110
111,1146
112,1154
113,1166
114,1167
115,1185
116,1186
117,1187
118,1188
119,1189
120,1201
121,1210
122,1224
123,1232
124,1238
125,1250
126,1258
127,1270
128,1291
129,1301
130,1302
131,1320
132,1332
133,1333
134,1357
135,1358
136,1366
137,1366
138,1378
139,1387
140,1390
141,1398
142,1410
143,1428
144,1446
145,1490
146,1498
147,1514
148,1515
149,1516
150,1524
151,1532
152,1544
153,1552
154,1568
155,1576
156,1577
157,1589
158,1590
159,1591
160,1592
161,1604
162,1604
163,1605
164,1629
165,1641
166,1649
167,1650
168,1660
169,1675
170,1676
171,1692
172,1693
173,1733
174,1775
175,1793
176,1807
177,1817
178,1833
179,1841
180,1849
181,1870
182,1882
183,1900
184,1912
185,1926
186,1927
187,1928
188,1940
189,1948
190,1948
191,1960
192,1978
193,1986
194,1987
195,1999
196,2011
197,2026
198,2044
199,2045
200,2055
201,2065
202,2075
203,2076
204,2085
205,2086
206,2087
207,2088
208,2106
209,2118
210,2127
211,2128
212,2140
213,2148
214,2160
215,2174
216,2198
217,2199
218,2205
219,2219
220,2227
221,2227
222,2251
223,2251
224,2252
225,2253
226,2265
227,2283
228,2283
229,2301
230,2313
231,2337
232,2343
233,2352
234,2358
235,2358
236,2370
237,2371
238,2386
239,2422
240,2458
241,2468
242,2480
243,2489
244,2490
245,2502
246,2516
247,2528
248,2546
249,2546
250,2570
251,2580
252,2615
253,2616
254,2628
255,2636
256,2644
257,2648
258,2657
259,2658
260,2659
261,2680
262,2689
263,2695
264,2705
265,2717
266,2723
267,2735
268,2741
269,2771
270,2783
271,2795
272,2796
273,2812
274,2813
275,2825
276,2843
277,2857
278,2858
279,2870
280,2870
281,2919
282,2920
283,2944
284,2972
285,2972
286,2973
287,2991
288,3003
289,3011
290,3012
291,3013
292,3022
293,3031
294,3043
295,3051
296,3061
297,3062
298,3074
299,3075
300,3087
301,3093
302,3117
303,3132
304,3144
305,3144
306,3154
307,3155
308,3161
309,3167
310,3175
311,3187
312,3187
313,3199
314,3211
315,3212
316,3248
317,3248
318,3254
319,3260
320,3266
321,3274
322,3286
323,3286
324,3286
325,3295
326,3296
327,3297
328,3297
329,3307
330,3325
331,3326
332,3327
333,3333
334,3357
335,3357
336,3366
337,3367
338,3375
339,3396
340,3411
341,3439
342,3463
343,3464
344,3473
345,3485
346,3486
347,3495
348,3495
349,3504
350,3510
351,3546
352,3547
353,3565
354,3601
355,3613
356,3622
357,3650
358,3662
359,3670
360,3676
361,3684
362,3696
363,3696
364,3702
365,3711
366,3726
367,3756
368,3764
369,3779
370,3797
371,3815
372,3833
373,3842
374,3848
375,3876
376,3892
377,3893
378,3901
379,3917
380,3925
381,3943
382,3943
383,3949
384,3950
385,3956
386,3957
387,3957
388,3958
389,3959
390,3995
391,4019
392,4025
393,4026
394,4032
395,4033
396,4069
397,4070
398,4076
399,4086
400,4087
401,4093
402,4103
403,4115
404,4130
405,4139
406,4147
407,4148
408,4156
409,4200
410,4206
411,4207
412,4216
413,4225
414,4233
415,4251
416,4257
417,4281
418,4282
419,4283
420,4297
421,4298
422,4312
423,4330
424,4342
425,4343
426,4353
427,4363
428,4387
429,4393
430,4449
431,4461
432,4462
433,4463
434,4484
435,4514
436,4515
437,4533
438,4539
439,4549
440,4557
441,4573
442,4585
443,4586
444,4590
445,4602
446,4608
447,4609
448,4617
449,4635
450,4647
451,4663
452,4664
453,4672
454,4684
455,4696
456,4706
457,4712
458,4712
459,4713
460,4714
461,4723
462,4723
463,4735
464,4737
465,4755
466,4797
467,4815
468,4833
469,4857
470,4873
471,4883
472,4884
473,4894
474,4903
475,4909
476,4917
477,4932
478,4956
479,4957
480,4958
481,4972
482,4984
483,4999
484,5015
485,5024
486,5036
487,5037
488,5053
489,5077
490,5089
491,5090
492,5091
493,5091
494,5099
495,5111
496,5147
497,5147
498,5155
499,5169
500,5170
501,5188
502,5198
503,5206
504,5212
505,5218
506,5227
507,5239
508,5260
509,5268
510,5292
511,5304
512,5305
513,5306
514,5314
515,5315
516,5321
517,5345
518,5346
519,5352
520,5368
521,5404
522,5405
523,5405
524,5440
525,5458
526,5464
527,5476
528,5492
529,5552
530,5564
531,5572
532,5584
533,5614
534,5630
535,5636
536,5652
537,5670
538,5706
539,5712
540,5724
541,5738
542,5756
543,5800
544,5828
545,5832
546,5840
547,5876
548,5877
549,5889
550,5897
551,5905
552,5906
553,5914
554,5938
555,5938
556,5950
557,5959
558,5967
559,5967
560,5975
561,5987
562,6023
563,6038
564,6056
565,6091
566,6099
567,6100
568,6112
569,6148
570,6149
571,6161
572,6162
573,6163
574,6199
575,6211
576,6221
577,6227
578,6237
579,6255
580,6256
581,6265
582,6266
583,6278
584,6284
585,6290
586,6302
587,6316
588,6328
589,6340
590,6348
591,6349
592,6385
593,6409
594,6427
595,6433
596,6434
597,6476
598,6494
599,6495
600,6495
601,6511
602,6513
603,6514
604,6526
605,6532
606,6533
607,6539
608,6540
609,6552
610,6564
611,6570
612,6578
613,6590
614,6590
615,6599
616,6607
617,6622
618,6622
619,6622
620,6634
621,6643
622,6655
623,6667
624,6675
625,6675
626,6683
627,6691
628,6757
629,6769
630,6781
631,6797
632,6798
633,6799
634,6811
635,6812
636,6822
637,6822
638,6850
639,6862
640,6864
641,6870
642,6882
643,6900
644,6918
645,6927
646,6943
647,6951
648,6963
649,6973
650,6981
651,6999
652,7007
653,7013
654,7021
655,7033
656,7045
657,7046
658,7055
659,7067
660,7097
661,7103
662,7127
663,7135
664,7136
665,7150
666,7162
667,7218
668,7266
669,7278
670,7290
671,7291
672,7299
673,7300
674,7301
675,7322
676,7340
677,7349
678,7367
679,7375
680,7383
681,7395
682,7404
683,7405
684,7429
685,7439
686,7451
687,7457
688,7461
689,7467
690,7468
691,7484
692,7485
693,7509
694,7510
695,7511
696,7520
697,7521
698,7522
699,7528
700,7549
701,7561
702,7562
703,7571
704,7572
705,7587
706,7605
707,7606
708,7656
709,7665
710,7674
711,7682
712,7694
713,7700
714,7718
715,7727
716,7755
717,7773
718,7782
719,7782
720,7794
721,7806
722,7818
723,7830
724,7831
725,7867
726,7875
727,7891
728,7906
729,7918
730,7926
731,7941
732,7942
733,7954
734,8002
735,8016
736,8028
737,8040
738,8052
739,8076
740,8084
741,8093
742,8105
743,8119
744,8129
745,8137
746,8161
747,8173
748,8182
749,8194
750,8206
751,8214
752,8226
